기간	자치구	동	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 공기조절 공급업	전기 가스 증기 및 공기조절 공급업	수도 하수 및 폐기물 처리 원료 재생업	수도 하수 및 폐기물 처리 원료 재생업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수 및 창고업	운수 및 창고업	숙박 및 음식점업	숙박 및 음식점업	정보통신업	정보통신업	금융 및 보험업	금융 및 보험업	부동산업	부동산업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설 관리 사업 지원 및 임대 서비스업	사업시설 관리 사업 지원 및 임대 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리 및 기타 개인 서비스업	협회 및 단체 수리 및 기타 개인 서비스업
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	합계	합계	823,385	279,711	5,210,936	2,878,227	2,332,709	30	462	24	81	58,970	266,500	183	6,083	451	9,139	21,825	379,353	223,955	896,326	95,412	272,618	130,595	495,092	23,384	357,761	11,220	262,273	41,282	158,063	41,654	463,519	16,198	496,433	1,282	140,121	35,377	346,219	28,824	378,366	23,025	91,104	69,694	191,423
2018	종로구	소계	39,952	13,442	265,017	152,717	112,300	3	17	4	10	4,437	13,071	12	350	7	126	328	30,305	16,587	43,116	1,388	7,260	6,625	27,639	858	18,599	567	19,260	1,316	6,392	1,553	21,766	1,227	18,157	89	15,658	850	13,504	744	15,888	909	6,227	2,448	7,672
2018	종로구	사직동	3,541	1,191	49,536	28,658	20,878	1	14	-	-	76	240	1	1	2	33	34	5,887	561	2,972	235	2,386	872	4,243	166	2,086	133	4,639	148	1,103	358	7,932	399	7,464	19	6,312	86	967	103	870	95	1,544	252	843
2018	종로구	삼청동	712	324	4,577	2,193	2,384	-	-	-	-	16	39	-	-	-	-	8	59	264	945	20	73	222	936	21	130	8	67	17	33	46	317	24	100	4	1,204	14	260	7	30	17	175	24	209
2018	종로구	부암동	565	240	3,609	1,706	1,903	-	-	1	1	27	145	-	-	-	-	22	72	105	590	33	38	127	395	21	106	3	22	24	41	29	108	16	58	3	59	40	1,424	15	148	16	40	83	362
2018	종로구	평창동	751	319	3,565	1,670	1,895	-	-	1	5	17	96	-	-	-	-	21	82	155	648	42	130	136	527	25	108	8	60	59	159	31	89	14	44	3	85	56	618	36	466	32	186	115	262
2018	종로구	무악동	581	103	1,598	803	795	-	-	-	-	4	8	-	-	-	-	7	55	45	111	387	397	27	89	2	3	2	17	15	89	3	4	4	28	1	16	25	185	11	482	4	12	44	102
2018	종로구	교남동	393	156	4,008	2,486	1,522	-	-	-	-	6	16	-	-	-	-	9	32	81	272	33	57	79	313	10	59	7	28	37	114	13	154	9	23	2	40	18	176	21	2,499	11	44	57	181
2018	종로구	가회동	766	372	14,100	10,618	3,482	-	-	-	-	34	281	-	-	-	-	11	7,986	177	425	20	26	251	927	21	1,184	10	92	25	51	54	1,297	19	198	3	459	32	691	14	83	37	151	58	249
2018	종로구	종로1.2.3.4가동	15,603	4,989	109,824	66,387	43,437	-	-	2	4	1,901	5,427	10	348	3	18	76	15,395	7,239	18,907	167	2,188	2,361	11,366	332	11,222	244	11,359	461	3,175	606	8,736	544	7,919	23	4,886	301	3,168	200	1,568	249	1,381	884	2,757
2018	종로구	종로5·6가동	7,461	2,465	24,713	15,216	9,497	1	1	-	-	967	2,810	-	-	-	-	24	94	4,934	10,670	66	1,186	611	1,983	72	2,300	33	1,278	159	575	100	700	62	1,100	5	309	41	336	101	463	36	169	249	739
2018	종로구	이화동	1,245	414	16,751	7,171	9,580	1	2	-	-	99	391	1	1	-	-	14	65	227	1,221	32	69	361	1,933	63	706	8	53	51	157	65	1,103	17	215	3	79	40	2,082	29	7,556	141	689	93	429
2018	종로구	창신1동	2,259	706	6,591	3,216	3,375	-	-	-	-	340	869	-	-	1	38	7	19	1,262	2,529	46	129	252	771	11	68	41	608	58	249	26	101	22	243	1	20	12	128	48	339	36	225	96	255
2018	종로구	창신2동	856	278	2,166	989	1,177	-	-	-	-	391	1,102	-	-	-	-	9	11	123	220	44	44	124	291	6	7	4	41	16	17	3	5	8	15	2	71	8	26	27	186	16	21	75	109
2018	종로구	창신3동	264	76	851	459	392	-	-	-	-	47	119	-	-	1	37	8	21	39	93	49	82	28	59	4	10	1	6	25	66	3	20	1	1	2	64	14	124	8	90	6	15	28	44
2018	종로구	숭인1동	480	162	1,519	648	871	-	-	-	-	161	499	-	-	-	-	7	17	86	250	41	83	48	133	5	17	2	14	20	56	14	34	7	40	1	15	12	43	22	198	5	15	49	105
2018	종로구	숭인2동	1,754	531	6,472	2,914	3,558	-	-	-	-	282	880	-	-	-	-	30	264	734	1,655	57	99	252	635	21	55	42	832	79	218	40	276	28	553	3	74	24	340	27	184	37	225	98	182
2018	종로구	청운효자동	998	450	6,282	3,182	3,100	-	-	-	-	41	78	-	-	-	-	21	107	250	584	45	118	252	681	31	168	12	66	46	104	83	449	16	64	9	1,772	49	695	27	447	21	541	95	408
2018	종로구	혜화동	1,723	666	8,855	4,401	4,454	-	-	-	-	28	71	-	-	-	-	20	139	305	1,024	71	155	622	2,357	47	370	9	78	76	185	79	441	37	92	5	193	78	2,241	48	279	150	794	148	436
2018	중구	소계	60,957	22,669	390,530	210,755	179,775	-	-	2	3	9,369	29,402	6	724	10	369	390	4,896	31,547	98,606	1,547	14,316	6,050	33,032	914	25,013	1,217	50,108	1,694	9,169	2,752	36,078	1,483	39,020	62	19,280	471	8,321	747	10,104	558	3,723	2,138	8,366
2018	중구	소공동	3,804	1,113	60,990	34,405	26,585	-	-	-	-	81	224	1	2	1	9	24	778	1,265	9,273	272	5,925	711	6,468	99	3,924	252	15,101	131	983	373	7,289	263	7,652	3	51	48	615	68	805	37	526	175	1,365
2018	중구	회현동	9,122	4,707	48,764	24,680	24,084	-	-	1	1	203	735	-	-	-	-	18	942	7,305	20,832	105	2,390	615	3,653	48	2,912	153	6,592	142	1,160	92	4,777	92	2,154	7	504	23	225	71	643	36	688	211	556
2018	중구	명동	6,765	1,937	110,677	59,680	50,997	-	-	-	-	280	1,023	3	713	1	18	33	292	1,799	12,540	264	3,180	1,333	8,956	223	11,427	492	23,849	354	2,970	556	9,552	604	15,820	16	14,218	61	870	176	2,156	66	432	504	2,661
